107,Molnár Gábor,Matematika|Programozás,false
14,Rácz Levente,11.A
103,Szabó András,Programozás|Adatbázis-kezelés,false
28,Jakab Noel,13.B
5,Varga Eszter,9.B
109,Farkas Tamás,Testnevelés,false
19,Bíró Petra,12.C
104,Tóth Judit,Angol nyelv|Német nyelv,true
8,Németh Áron,10.A
25,Major Réka,13.A
101,Kovács Péter,Matematika|Fizika,false
3,Szabó Lilla,9.A
110,Papp Andrea,Digitális kultúra|Webprogramozás,false
17,Kovács Nóra,11.C
22,Antal Tamás,12.B
106,Horváth Katalin,Biológia|Kémia,false
9,Farkas Anna,10.C
30,Mészáros Roland,13.B
102,Nagy Éva,Magyar nyelv és irodalom|Történelem,false
12,Papp Gergő,10.B
27,Veres Hanna,13.C
108,Németh Anna,Történelem|Etika,true
6,Horváth Dávid,9.B
21,Somogyi Laura,12.A
105,Varga Zoltán,Informatika|Hálózati ismeretek|Fizika,true
1,Nagy Anna,9.A
16,Fekete Bálint,11.B
24,Gál Kristóf,12.B
7,Szabó Zsófia,10.A
29,Katona Fanni,13.B
10,Balogh Máté,10.B
18,Fehér Zoltán,11.B
26,Bakos Martin,13.A
4,Tóth Márk,9.B
13,Simon Dóra,11.A
20,Sipos Dániel,12.A
23,Bognár Emma,12.B
2,Kiss Bence,9.A
15,Oláh Jázmin,11.A
11,Lakatos Luca,10.B
